,question,answer
0,asset coverage ratio,asset coverage ratio measure ability company cover debt obligation asset
1,capitalization ratio,capitalization ratio reflects extent company operating equity
2,debt ratio,debt ratio give user quick measure amount debt company balance sheet compared asset
3,debt service coverage ratio,corporate finance example debtservice coverage ratio explained amount assessable cash flow congregate annual interest principal payment debt forgetting sinking fund payment
4,debttoequity ratio,debttoequity ratio financial ratio indicating relative proportion entity equity debt used finance entity asset
5,debttoincome ratio,debttoincome ratio expressed personal finance measure helpful comparing individual debt payment income generated himher
6,ratio used creditor rating agency assessment defaulting probability issued,ratio facilitates investor approximate time period required firm business pay debt ignoring factor like interest depreciation tax amortization
7,definition equity multiplier,finance equity multiplier defined measure financial leverage
8,equity ratio,equity ratio refers financial ratio indicative relative proportion equity applied finance asset company
9,definition financial leverage,financial leverage aptly described extent business investor using borrowed money
10,fixed asset net worth,fixed asset net worth ratio measuring solvency company
11,definition fixed charge coverage ratio,ratio calculated summing earnings interest tax ebit fixed charge divided fixed charge tax interest
12,interest coverage ratio,interest coverage ratio measure number time company could make interest payment debt ebit
13,ratio long term debt capital company,total capital company includes long term debt stock company
14,long term debt total asset ratio,ratio calculated yearly decrease ratio would denote company fairing well le dependant debt business need
15,noncurrent asset net worth ratio,noncurrent asset net worth ratio isa measure extent company investment lowliquid noncurrent asset
16,total expense ratio,total expense ratio ratio total fund cost total fund asset
17,definition acidtest ratio,term acidtest ratio also known quick ratio
18,cash ratio,potential creditor use ratio measure company liquidity easily service debt cover shortterm liability
19,definition net working capital,net working capital current asset minus current liability
20,quick ratio,quick ratio measure company ability meet shortterm obligation using liquid asset
21,definition working capital,working capital frequently used measure firm ability meet current obligation
22,alternative term term current ratio,working capital ratio alternative term term current ratio
23,croci,compare cash earned money invested
24,dupont formula,dupont formula method assessing company return equity breaking three part
25,meaning ebt,earnings interest tax used measure ability firm generate income various operation specific course time
26,plowback ratio,per definition earning retention ratio plowback ratio ratio measure amount earnings retained dividend paid shareholder
27,definition ebit,ebit measure entity profitability excludes interest income tax expense
28,definition ebitda,ebitda indicator company financial performance
29,definition ebitda,short earnings interest tax depreciation amortization rent management fee ebitdarm refers financial performance measure used comparison common measure like ebitda situation rent management fee company represent largerthannormal percentage operating cost
30,definition earnings tax,earnings tax defined money retained company deducting money due paid tax
31,effective rate return investment,effective rate return rate interest investment annually compounding occurs
32,definition gross margin,gross margin reveal much company earns taking consideration cost incurs producing product service
33,net interest margin,net interest margin expressed performance metric examines success firm investment decision contrasted debt situation
34,definition net profit margin,net profit margin displayed percentage
35,noplat,measurement profit includes cost tax benefit debt financing
36,explain operating expense ratio,operating expense ratio explained way quantifying cost operating piece property compared income brought property
37,operating margin,operating margin ratio operating income divided net sale
38,overhead ratio,overhead ratio comparison operating expense total income related production good service
39,definition profit analysis,managerial economics profit analysis form cost accounting used elementary instruction short run decision
40,relative return,relative return refers return achieved asset specific time period contrasted benchmark
41,company generate profit leverage,show company ability generate profit leverage rather using leverage
42,definition return average asset,return average asset defined indicator used evaluate profitability asset firm
43,difference return average capital employed return capital employed,return average capital employed ratio reveals profitability investment made company
44,return average equity,return average equity refers performance company financial year
45,definition return capital employed,capital employed equal company equity plus noncurrent liability word longterm fund used company
46,definition term return debt,putting way return debt refers amount profit generated every dollar held company debt
47,return equity,return equity amount net income returned percentage shareholder equity
48,capital return investment business,roic capital return investment business hightech way examining stock return investment corrects specialty return asset return equity
49,commonly used approach evaluating financial consequence business investment,one commonly used approach evaluating financial consequence business investment decision action
50,return net asset,return net asset comparison net income net asset
51,definition term return research capital,return research capital element productivity growth research development one technique employed company develop new product service sale
52,difference higher return retained earnings lower return dividend,higher return retained earnings indicates company would better reinvesting business
53,return revenue,return revenue measure profitability compare net income company revenue
54,definition return sale,return sale ratio widely used evaluate entity operating performance
55,definition measure performance human resource company,measure performance human resource company
56,risk adjusted return,risk adjusted return apply investment fund portfolio individual security
57,many time given period company pay average account payable,ratio show many time given period company pay average account payable
58,ratio asset sale,ratio help measure productivity company asset
59,time required firm turn purchase cash receipt customer,time required business turn purchase cash receipt customer
60,dpo,day payable outstanding account payableturnover expressed day
61,day sale outstanding,day sale outstanding average collection period day account receivable
62,defensive interval,defensive interval ratio also called defensive interval period
63,much company fixed asset used generate revenue,ratio tell u effectively efficiently company using fixed asset generate revenue
64,definition inventory turnover,inventory turnover measure number time inventory sold used given time period one year
65,quickly company collect outstanding cash balance customer accounting period,ratio determines quickly company collect outstanding cash balance customer accounting period
66,many time financial obligation company covered earnings,ratio tell number time financial obligation company covered earnings
67,definition cash flow management,analyzing managing cash flow company known cash flow management
68,cash flow return investment,cash flow return investment indicator help firm evaluate performance investment product
69,good indicator financial health company,higher free cash flow operating cash flow ratio good indicator financial health company
70,ratio company operating cash flow sale revenue,ratio give analyst investor indication ability company generate cash sale
71,pricecash flow ratio,pricecash flow ratio investment valuation ratio used investor evaluate attractiveness investing company share
72,business valuation,valuation used participant financial market determination price paid received willingly consummate business sale
73,dividend payout ratio,dividend payout ratio compare dividend paid company earnings
74,compare dividend share price,also compare dividend share price see much cash flow investor get investment company share
75,dividend yield,dividend yield amount company pay share holder annually investment
76,value company business,enterprise value measure value ongoing operation company
77,definition term,enterprise value multiple comparison enterprise value earnings interest tax depreciation amortization
78,evebitda ratio,evebitda ratio comparison enterprise value earnings interest tax depreciation amortization
79,gordon growth model,gordon growth model model determine fundamental value stock based future sequence dividend mature constant rate provided dividend per share payable year assumption growth dividend constant rate eternity model help solving present value infinite series future dividend
80,risk assessment mortgage accepted,also known risk assessment made mortgage accepted
81,net asset value per share,net asset value per share defined expression net asset value indicates value per share fund company
82,priceearnings growth ratio,peg ratio priceearnings growth ratio used determine relative tradeoff price stock earnings per share expected growth company
83,price earnings ratio,pe ratio valuation ratio company current price per share compared earnings per share
84,pricetoresearch ratio,pricetoresearch ratio expressed measure relationship company market capitalization expense research development
85,pricebook value ratio,pricebook value ratio investment valuation ratio used investor finance provider compare market value company share book value
86,price sale ratio,ratio usually used valuation share
87,role finance stock market,every country economy finance play important role stock market
88,apv project,adjusted present value delineated net present value project financed exclusively equity added present value financing benefit
89,altman z score,commonly lower score reflects higher odds bankruptcy
90,interest rate account,interest calculated determine return person get adding interest payment amount originally deposited next interest payment established marginally higher account balance
91,annualized rate return,annualized rate calculated multiplying change rate return one month get rate year
92,meaning annuity,finance theory term annuity used refer terminating stream fixed payment particular time period
93,average annual growth rate,average annual growth rate evaluated kind investment include measure overall risk involved investment calculated volatility price
94,average annual return,average annual return defined percentage figure used reporting previous return like5 10year average return mutual fund
95,bad debt,bad debt defined explained amount written business loss categorized expense debt owed business collected effort made failed collect owed amount
96,balance sheet analysis,balance sheet analysis defined analysis asset liability equity company
97,explained legal proceeding involves business individual unable,bankruptcy explained legal proceeding involves business individual unable repay outstanding debt
98,definition book value per equity share,simple word book value per equity share give snap shot firm present situation including future consideration firm
99,breakeven point,breakeven point point total cost total sale equal
100,definition term capital asset pricing,capital asset pricing model refers model delineates relationship risk expected return used pricing risky security
101,capital budgeting,capital budgeting refers process involves business determine whether project like investing longterm venture building new plant worth following
102,capital employed,generally capital employed presented deducting current liability total asset
103,cash burn rate,rate company utilizes cash supply specific period time known cash burn rate
104,definition coefficient variation,coefficient variation refers statistical measure distribution data point data series around mean
105,company analysis,company analysis process carried investor evaluate security collecting info related company profile product service well profitability
106,growth rate company,compound annual growth rate company refers growth rate investment year year particular time period
107,term compounding,method addition interest principle known compounding
108,difference sale revenue variable cost,measure profit margin focus proportion sale revenue left deduction variable cost associated product
109,cost debt,cost debt generally refers effective paid company debt
110,risk associated foreign investment,risk included exchange rate risk economic risk political risk sovereign risk transfer risk risk capital frozen government action
111,definition credit risk,investor rewarded presuming credit risk way interest payment issuer borrower debt contract
112,credit score,credit score indicator creditworthiness used lender access chance person repaying hisher debt
113,definition currency risk,putting simple currency risk defined possibility currency depreciation show negative effect value asset investment related interest dividend payment stream specifically security denominated foreign currency
114,number fraud case increasing every year,every year number fraud case increasing reason may attributed technological development
115,annuity,annuity essentially finance related contract permit person buying pay lumpsum basis make payment series return acquiring disbursement regular interval future
116,ratio financial operational leverage,ratio help ascertaining best possible financial operational leverage used firm business
117,degree financial leverage,degree financial leverage leverage ratio sum effect amount financial leverage earning per share company
118,degree operating leverage,degree operating leverage leverage ratio sum effect amount operating leverage company earnings interest tax
119,discount rate,finance discount rate different meaning important one mentioned
120,discounted cash flow,discounted cash flow analysis involves use future free cash flow protrusion discount reach present value used calculate potential investment
121,underlying idea discounted dividend model,underlying idea value obtained dividend discount model greater value share already traded stock considered undervalued
122,main aim diversification company,main aim diversification company allow company establish apart current operation
123,definition due diligence,term due diligence generally used various concept involving investigation either person business signing contract act involving certain standard care
124,eoq model,using model company minimize cost associated ordering inventory holding
125,definition economic risk,generally speaking economic risk described likelihood investment affected macroeconomic condition government regulation exchange rate political stability commonly one foreign country
126,elasticity demand,elasticity demand refers degree responsiveness change demand product service price
127,explicit cost,explicit cost defined direct payment supposed made others due course running business
128,factor analysis,factor analysis reduce set variable set new variable
129,financial analysis report,financial analysis report basically document attracts high interest investor contains detailed appraisal company financial health
130,definition financial modeling,financial model generally featured performing calculation making recommendation basis information
131,process estimating amount required capital determining competition,putting simple process estimating amount required capital determining competition
132,financial ratio,financial ratio well defined comparative magnitude two selected statistical value taken financial statement business enterprise
133,definition financial responsibility,besides essentially important understand various basic principle achieve high level financial responsibility
134,key factor determining risk profitability company,ratio include asset utilization ratio profitability ratio leverage ratio liquidity ratio valuation ratio
135,fixed cost economics,fixed cost economics explained business expense depend level good service proffered business
136,fundamental analysis,fundamental analysis explained method estimating security involves attempting evaluate basic value assessing allied financial economic quantitative qualitative factor
137,future value asset,future value refers value asset cash particular date future equivalent value specified sum present
138,gearing ratio,putting another way gearing ratio used mainly analyzing company capital structure thus assessing company financial position long run
139,meaning horizontal analysis,horizontal analysis allows assessment relative change different item time
140,definition idiosyncratic risk,idiosyncratic risk defined risk affect diminutive number asset almost eradicated diversification
141,definition cost economics,implicit cost economics mean opportunity cost equal given firm using factor neither hire purchase
142,industry analysis,industry analysis delineated market assessment tool designed provide business idea complexity specific industry
143,benchmark,benchmark basically refers standard used measure performance mutual fund security investment manager
144,internal rate return,internal rate return defined return rate make present value cash flow addition final market value investment thus bringing level current market price
145,study past decision made particular investment,also known study past decision made particular investment made
146,investment banking,investment banking explained form banking provides fund meet capital requirement company
147,investment management,investment management refers professional management different security asset meet specified investment goal investor benefit
148,best reducedform model pricing credit risk,one best reducedforms model help ascertaining credit risk
149,key success indicator,kpis differ company industry depending upon performance criterion priority
150,labor efficiency variance,order understand labor efficiency variance properly understand concept working standard costing first
151,leverage ratio,leverage ratio financial ratio measure company level debt relation equity asset
152,leveraged buyout,generally leveraged buyout involves use combination different debt instrument bank debt capital market
153,liquid asset,liquid asset referred asset converted cash quickly minimal impact price received
154,meaning marginal analysis,also marginal analysis generally used microeconomics analyzing complexity system affected marginal manipulation comprising variable
155,definition marginal revenue,many competitive firm continue produce output marginal revenue equal marginal cost
156,definition market capitalization,market capitalization delineated total dollar market value outstanding share company
157,market risk,market risk also known systematic risk potential investor lose value factor experience decline due volatility market example structural change occur market economy whole
158,difference predictable return market portfolio riskfree rate,market risk premium equivalent incline security market line capital asset pricing model
159,definition microeconomic pricing model,microeconomic pricing model essentially model wherein price concerned good service determined within given market
160,fixed overhead,overhead fixed total volume activity variable calculated per unit called fixed overhead
161,monte carlo simulation,monte carlo simulation implies problem solving technique used estimate possibility certain outcome running several trial run known simulation use random variable
162,cost commonly top five ratio used financial field,cost commonly top five ratio used financial field include
163,moving average,moving average basically indicator required purpose conducting technical analysis display security price average value definite period
164,meaning negative equity,negative equity basically name phenomenon
165,important factor requires consideration investing company,expressed investopedia one important factor require consideration investing company amount debt carried company
166,net present value business entity,explained financial author net present value net present worth defined present value individual cash flow incoming outgoing business entity
167,company determine net present value growth opportunity,net present value growth opportunity determined deducting purchase price present value growth opportunity
168,definition nondiversifiable risk,nondiversifiable risk also referred market risk systematic risk
169,definition nonsystematic risk,therefore individual business risk related underlying stock company go bankrupt stated nonsystematic risk event usually little general recede flow entire market
170,difference mean standard deviation distribution,division distance one data point mean standard deviation distribution known normal deviate standardized value
171,definition opportunity cost,word opportunity cost refers benefit could received alternative action
172,best capital structure firm,optimal capital structure indicates best debttoequity ratio firm maximizes value
173,created pareto principle,pareto principle also known thetorule created vilfredo pareto italian economist year 1906
174,passive management,passive management converse active management includes attempt fund manager beat market different investing strategy sellingbuying decision security portfolio
175,definition payback period,simple term payback period defined tool capital budgeting calculates length time required recover original invested amount
176,definition success,many time success defined term progressing towards strategic goal often success simply referred repeated achievement level operational goal
177,annuity,describe detail perpetuity annuity wherein periodic payment commence specific date continue indefinite time
178,present value entity,present value entity defined present worth prospective amount money stream cash flow specified return rate
179,definition price sensitivity,another way explaining price sensitivity consumer demand product changed cost product
180,main reason behind conducting qualitative analysis,could number reason behind conducting analysis may include measurement progress performance evaluation prediction related global event valuation financial instrument
181,quantitative analysis,quantitative analysis business financial analysis technique aim understanding behavior use complex mathematical statistical modeling measurement research
182,value rsquared security,rsquared security isit denotes movement security completely ascertained standard movement market index
183,resultant value,resultant value indicator value one quantity quantity term
184,us ratio analysis,besides ratio analysis used predominantly proponent financial analysis
185,value independent variable change process,value independent variable change process
186,definition risk adjusted discount rate,estimation present value cash high risk investment known riskadjusted discount rate
187,term risk free rate return,riskless rate represents interest expected investor completely riskless investment certain time period
188,rate adjustment used economic business data,saas rate adjustment used economic business data attempt remove data seasonal variation
189,done prevent loss,keeping track change external factor necessary action taken prevent loss
190,sharpe ratio,sharpe derived formula help measure risk adjusted performance
191,solvency mean,finance solvency refers extent current asset business entity exceed current liability
192,solvency ratio,solvency ratio one various ratio used measure ability company meet long term debt
193,standard deviation,general definition standard deviation given measure dispersion set data mean
194,standard deviation sampling distribution,statistic standard deviation sampling distribution known standard error
195,swot,generally swot basic simple model evaluates capability organization well potential opportunity threat
196,systematic risk,systematic risk refers risk intrinsic complete market complete market segment
197,long discounted cash flow projection take calculate value firm,terminal value asset company calculated beyond time period discounted cash flow projection
198,concept time value money,moreover concept time value money also help evaluating likely stream income future manner annual income discounted added thereafter thereby providing lumpsum present value complete income stream
199,trend analysis sale year thetowill converted,trend analysis sale year thetowill converted percentage form order compare
200,ratio return earned surplus could earned risk,ratio measure return earned surplus could earned risk free speculation per unit market risk
201,definition variable cost,variable cost calculated sum marginal cost unit produced
202,vertical analysis financial statement,method compare different item single item accounting period
203,weighted average cost capital,weighted average cost capital explained rate expected provided company average security holder financing asset
204,method weighted average cost flow assumption,method weighted average cost flow assumption periodic inventory method used employed compute value inventory addition cost good sold
205,absorption costing method,absorption costing method involves use total direct cost overhead cost related manufacturing product cost base
206,accelerated depreciation,accelerated depreciation refers method depreciation used income tax accounting purpose allows higher deduction initial year asset life
207,definition accounting analysis,accounting analysis also referred financial analysis financial statement analysis explained assessment stability viability profitability business subbusiness project
208,accounting estimate,accounting estimate approximation amount debited credited item precise mean measurement available
209,accounting policy,accounting policy specific principle base convention rule practice applied entity preparing presenting financial statement
210,definition accounting principle,accounting principle guideline set accounting body every entity must follow preparing financial statement
211,general accepted accounting principle,gaap short generally accepted accounting principle common set accounting principle procedure standard used company compile financial statement
212,definition creditor,seller supplier called creditor
213,credit sale made cash isnt waged time,credit sale made cash isnt waged time sale business buyer augmentation debtor take room
214,definition accrual accounting,accrual accounting refers method accounting evaluates performance position company recognizing economic activity irrespective occurrence cash transaction
215,difference acquisition cost book value,alternatively referred book value cost stated fixed asset section balance sheet
216,definition activity based costing,activity based costing approach determines cost product based activity performed production
217,adjusting entry,accountancy adjusting entry explained journal entry made generally closing accounting period apportion income expenditure period occurred actually
218,administrative expense,administrative expense refer cost operating business directly attributable production good service
219,definition affiliate,term affiliate refers type intercompany relationship involves one company le majority stock held company
220,difference amortization depreciation,accounting amortization similar depreciation method amount decrease period
221,obverse part report,obverse part report includes exciting combination graphic photo well accompany narrative record activity company previous year
222,purpose interim financial statement,however interim financial statement generally unaudited case clearly labeled unaudited thus avoiding misleading statement user
223,asset based financing,asset based financing specialized technique providing structured working capital term loan tenable account receivable machinery inventory equipment real estate
224,definition authorized share,word term also referred authorized share
225,definition authorized share,usually number share authorized much actually required order provide company opportunity issue stock required
226,definition bad debt reserve,usually bad debt reserve considered option debtor liable pay specific amount debt creditor considered bankrupt
227,antonym goodwill,also called negative goodwill
228,balance sheet,balance sheet snapshot company financial condition specific moment time usually close accounting period
229,bill exchange,bill exchange refers written interest bear interest
230,definition living animal,international accounting standard defines biological asset living animal plant
231,bonus depreciation,bonus depreciation refers additional amount deductible depreciation awarded addition usually available
232,book value,book value defined value asset passed balance sheet
233,definition borrowing cost,borrowing cost defined interest cost incurred enterprise relation borrowing fund
234,cost levied borrowing longterm,also cost levied borrowing longterm like real estate mortgage term loan
235,burden rate,actuality burden rate rate indirect cost allocated direct cost make indirect cost part direct cost incurred
236,preferred mean managing business combination,many case preferred mean managing business combination might acquiring controlling amount stock
237,capital expenditure,general definition capital expenditure given fund utilized company acquiring upgrading physical asset like property equipment industrial building
238,definition capitalized cost,capitalized cost incurred financing building fixed asset
239,capitalization rate,capped rate also called capitalization rate
240,cash accounting,cash accounting explained accounting method involves recording receipt period received expense recorded period actually paid
241,cash advance,definition cash advance loan taken credit card charge interest borrower would charged financing charge day cash borrowed day amount repaid full
242,definition cash equivalent,cash equivalent shortterm highly liquid investment readily convertible known amount cash subject insignificant risk change value
243,iasdefine financing activity,ias7 defines financing activity activity result change size composition contributed equity borrowing entity
244,ias7 define investment activity,ias7 defines investing activity activity acquisition disposal longterm asset investment included cash equivalent
245,ias7 define operating activity,ias7 defines operating activity principal revenueproducing activity entity activity investing financing activity
246,operating expense clearing account,example operating expense clearing account maintained keep track entry operating expense close real operating expense account
247,commodity,definition commodity physical substance like grain metal interchangeable another product type bought sold investor sale purchase
248,definition common share,common share aptly defined security lieu equity ownership corporation
249,difference traditional common size financial statement,traditional financial statement used reporting purpose report monetary position company common size financial statement used decisionmaking purpose
250,type income statement used analysis purpose,commonsize income statement type income statement item reported reference revenue company
251,completed contract method accounting,method total contract revenue related cost incurred performance recognizable period contract actually completed
252,definition comprehensive income,according ias1 presentation financial statement comprehensive income change equity period resulting transaction event change resulting transaction owner capacity owner
253,definition conglomerate,however conglomerate diversification business company normal practice usually company depict multiindustry corporate structure
254,meaning consolidated financial statement,putting another way consolidated financial statement addressed combined financial statement parent company subsidiary
255,construction contract,construction contract explained warranty ensures executed job get specific amount compensation way compensation distributed
256,contingent asset,contingent asset possible asset arises past event whose existence confirmed occurrence nonoccurrence one uncertain future event wholly within control entity
257,continuing operation,continuing operation refers business term used define division business company considered normal addition expected operate near future
258,common convertible security,common convertible security includes convertible preferred stock convertible bond transformed common stock equity
259,cost method,cost method method accounting investment whereby investment recognized cost
260,cost good sold,also commonly known cost good sold
261,cost recovery method,cost recovery method basically method recognizing revenue per gross profit recognized till time entire merchandise cost successfully recovered
262,current asset,current asset asset expected used withinmonths
263,liability entity,liability noncurrent liability
264,term equally important finance taxation management accounting,term equally important finance taxation management accounting
265,debt management,debt management refers unofficial agreement unsecured creditor repayment debt specific time period generally extending amount time debt paid back
266,definition reducing balance depreciation method,method depreciation charged asset early year asset life higher gradually decrease year pas
267,deferred tax liability,deferred tax liability amount income tax payable future period respect taxable temporary difference
268,restriction regard employee withdraw fund without penal,besides restriction regard employee withdraw fund without penalized also exist plan
269,defined contribution plan,defined contribution plan basically plan retirement certain specified percentage amount money kept aside every year organization employee benefit
270,mean defined contribution plan,international accounting standard defines defined contribution plan postemployment benefit plan entity pay fixed contribution separate entity legal constructive obligation pay contribution fund hold sufficient asset pay employee benefit relating employee service current prior period
271,direct allocation method,method cost manufacturing service department allocated directly production department company product
272,definition direct cost,word production process product cost labor material expense related production call direct cost
273,definition direct labor cost,case service industry direct labor cost referred labor cost needed providing particular service
274,definition term discontinued operation,discontinued operation refer operation business abandoned sold else wise disposed
275,difference person debt income ratio gross income,besides disposable income amount utilized calculating person debt income ratio
276,definition disposal value,minimum value machine sold without loss called book disposal value
277,distribution cost,distribution cost usually defined cost incurred deliver product production unit end user
278,doubleentry accounting,doubleentry accounting system used record transaction daybook accounting purpose
279,depreciation rate straight line method,depreciation method charged complete purchase price asset rather net salvage value price straight line method
280,percentage company distributable profit allocated outstanding equity share,earnings per share portion company distributable profit allocated outstanding equity share
281,effective interest method,effective interest method method calculating amortized cost financial asset financial liability allocating interest revenue interest expense relevant period
282,example employee benefit,employee benefit explained different nonwage compensation offered employee normal salary wage
283,definition equity,equity equal total asset minus liability
284,issuer return dividend,however necessary issued equity must return dividend based profit term business
285,exchange difference,international accounting standard defines exchange difference difference resulting translating given number unit one currency another currency different exchange rate
286,purpose external reporting,external reporting requires entity provide well documented report circulated amongst public stockholder
287,reason,income statement company event arise extraordinary nonrecurring necessary report
288,definition fair value,international standard accounting define fair value amount asset could exchanged liability settled knowledgeable willing party arm length transaction
289,definition fifo,fifo acronym first first concept way organizing manipulation data proportionate time prioritization
290,definition finance cost,international accounting standarddefines finance cost interest cost entity incurs connection borrowing fund
291,difference financial managerial accounting,financial accounting refers reporting financial position performance firm way financial statement issued external user intervallic basis
292,acronym fasb,fasb standard commonly known gaap manage preparation corporate financial report identified authoritative security exchange commission
293,financial instrument,financial instrument tradable asset kind either cash evidence ownership entity prescribed right receive deliver money financial instrument
294,financial lease,give proper definition expressed agreement wherein lessor receives lease payment covering ownership cost
295,financial report,usually includes summary accounting data year including background note form related info
296,financial statement,financial statement well defined formal record business individual entity financial activity
297,easily understandable,transparency financial statement mean statement user friendly clear everything properly disclosed easily understandable
298,inventory ready sold,finished good part manufacturing process work inventory completed turned finished good ready sold
299,fixed asset,fixed asset longterm tangible piece property firm owns us production income expected consumed converted cash withinmonths
300,fixed asset,fixed asset defined longterm tangible property piece owned firm used purpose incomegeneration
301,fixed capital,fixed capital clearly referred physical capital real capital consumed invested production real product
302,definition foreign currency translation,per u gaap regulation item balance sheet converted exchange rate existing balance sheet date
303,meaning forensic accounting,meaning forensic suitable use court law forensic accountant usually work potential standard outcome
304,forward contract,forward contract defined cash market transaction involves delivery commodity deferred contract created
305,forward rate,forward rate defined rate applicable situation financial transaction
306,making financial statement untransparent,another reason behind making financial statement untransparent give fruitful view firm investor aim attracting
307,difference operating cash flow capital expenditure,may also known operating cash flow minus capital expenditure
308,general accepted accounting principle,generally accepted accounting principle refers widely accepted set rule standard convention procedure reporting financial info
309,meaning going concern,company going concern indicates company gone bankrupt
310,goodwill,generally goodwill represents value intangible asset like good customer relation strong brand name good employee relation kind patent proprietary technology
311,government accounting standard board,government accounting standard board organization aim improving creating accounting reporting related standard gaap
312,definition historical cost,framework international accounting standard board defines historical cost measurement basis according asset recorded amount cash cash equivalent paid fair value consideration given acquire time acquisition
313,ifrs financial statement form,ifrs financial statement form include following statement financial position statement comprehensive income
314,possible write impairment asset,however possible write impairment asset
315,profit loss statement,income statement measure company financial performance specific accounting period
316,definition incremental cost,also referred marginal cost
