,question,answer
317,role independence standard board financial reporting procedure public entity,numerous security related law enacted congress managed sec state credibility integrity finance related reporting procedure public entity depends largely auditor operate independently auditing customer
318,intangible asset,intangible asset identifiable nonmonetary asset without physical substance
319,intercompany elimination,intercompany elimination refers process removal transaction company included group preparation consolidated account
320,purpose interim financial statement,interim financial statement applied order convey performance financial company beginning fiscal year end fiscal year
321,role iasb,moreover iasb also responsible maintaining ifrs
322,ifrs,ifrs represent set internationally accepted accounting principle used company prepare financial statement
323,ias2 inventory revised,standard applied annually january2005
324,definition inventory accounting,inventory accounting refers part accounting dealing assessing accounting change inventoried asset
325,line credit,inventory financing refers line credit shortterm loan made company purchasing product sale
326,difference face value share issued shareholder,face value share issued shareholder
327,justintime inventory strategy,justintime inventory strategy referred production strategy employed increase level efficiency reduce waste receiving good form required production process thus reducing inventory cost
328,lease,give legal definition lease rightly stated written agreement wherein owner property allows tenant use property specific time period certain amount rent
329,libor,short london interbank offer rate libor defined interest rate charged one bank another loan
330,last first method,acronym last first lifo method presumes asset acquired produced last sold used disposed first
331,liquidation value,liquidation value defined estimated amount money could received quickly sale asset company
332,longterm liability,longterm liability refer category debt presented balance sheet company required repaid upcoming twelve month instead required paid back within year
333,mark market,mark market used measuring fair value account could alter time like liability asset
334,definition market value,apt definition market value current quoted price share common stock bond bought sold investor specific time
335,current asset,good arent sold accounting cycle price good registered form current asset continue feature balance sheet till time sold
336,minimum lease payment,minimum lease payment payment lease term lessee required make excluding contingent rent cost service tax paid reimbursed lessor together
337,noncontrolling interest business,also referred noncontrolling interest business minority interest accounting concept deal part subsidiary corporation stock owned parent corporation
338,alternative term equity,term net asset alternative term equity
339,net book value asset,net book value defined simple word net value asset
340,net realizable value,generally field accounting net realizable value technique used calculate worth asset inventory
341,net sale number company,net sale refer amount sale engendered business deducting return tax like vat allowance damaged missing good discount allowed
342,net worth,net worth difference company total asset liability
343,definition nominal value,nominal value refers stated value issued security remains permanent compared market value fluctuating nature factor like inflation
344,definition noncontrolling interest,international accounting standard defines noncontrolling interest equity subsidiary attributable directly indirectly parent
345,noncurrent asset,noncurrent asset asset include amount expected recovered thanmonths reporting period
346,noncurrent liability,noncurrent liability liability due paid withinmonths normal course business
347,difference normal costing actual overhead rate,since normal costing make use standard overhead rate instead actual overhead rate method used determining product cost sudden increase cost
348,balance sheet,balance sheet refers asset debt financing activity presented balance sheet entity
349,expense incurred daytoday operation business,expense revenue nature since incurred daytoday operation business incur noncurrent asset
350,definition operating income,operating income income reported income statement company taking account interest taxation
351,operating lease,operating lease basically lease contract allows use asset right similar asset ownership conveyed
352,variable overhead cost,variable overhead cost constant calculated per unit become variable totaled volume output
353,seminal contributor field accounting,seminal contributor field accounting although accounting labeled discipline time
354,par value bond,par value defined face value stated value bond
355,percentageofcompletion method accounting,percentageofcompletion method accounting based revenue recognition principle provides framework recognize revenue expense account company
356,perpetual inventory system,help business updating inventory altering level order placed sale made
357,definition perpetual inventory system,perpetual inventory system defined keeping record stock
358,definition balance sheet,preparing balance sheet inherent part accounting procedure
359,definition postemployment benefit,international accounting standard defines postemployment benefit employee benefit payable completion employment
360,postretirement pension,one form retirement pension paid employee retirement year
361,pro forma invoice,pro forma invoice used various business almost industry
362,process costing method,process costing trace accumulates direct cost allocates indirect cost incurred manufacturing process
363,definition cost production,cost production refers total sum money needed production particular quantity output
364,profit center,profit center division within entity treated separate corporation
365,meaning sentence,meant profit distribution
366,definition provision,international accounting standard defines provision liability uncertain timing amount
367,purpose public oversight board,public oversight board created yearby aicpa usa
368,common accounting method used accounting standard,acquisition accounting also popularly known purchasing method accounting used accounting standard
369,entity preparing account acquisition merger subsidiary usually purchased,accounting entity preparing account acquisition merger subsidiary usually purchased purchase cost rather historical cost
370,qq,qualifying asset asset necessarily take substantial period time get ready intended use sale
371,definition raw material,raw material explained substance material used manufacturing primary production good
372,difference daily profit realized profit,daily profit also known paper profit common parlance amount company business gain daily subtracting amount invested business
373,meaning balancing two account,term also synonymous term bank reconciliation statement refers balancing two account sake checking much amount actual money spent
374,much company buy bond,redemption value considered value company purchase security much time get matured
375,difference salvage value residual value,accountancy residual value also called salvage value fully depreciated worth asset
376,procedure accounting imperative estimate value merchandise store,considering financial aspect particular company store necessary take consideration procedure accounting imperative estimate value merchandise store
377,definition retained earnings,retained earnings sum profit retained company since inception
378,salvage value,salvage value projected resale value asset close useful life
379,purpose sec,sec hold power licensing regulating stock exchange company whose security traded dealer broker carried trading
380,share premium,share premium amount received company face value share
381,difference total asset total liability company,shareholder equity amount show company financed help common share preferred share
382,definition statement cash flow,statement cash flow explained one financial report required disclosed according ifrs u gaap
383,purpose statement change equity,statement change equity explained statement change equity corporation feature created partnership sole proprietorship corporation
384,definition comprehensive income,comprehensive income change equity business enterprise period transaction event circumstance nonowner source
385,new name balance sheet used ifrs,statement financial position new name balance sheet used ifrs
386,shareholder,shareholder stockholder company organization individual another organization legally owns partial full stock public private corporation
387,popular simple method depreciation,straightline method depreciation popular simple method depreciation
388,subsidiary,subsidiary entity entity controlled another entity
389,temporal method,temporal method defined method translating foreign currency use exchange rate based time acquisition asset liability
390,term refers cost carrying transaction,transaction cost term refers cost incurred process carrying transaction
391,difference treasury share treasury share,treasury share share bought back issuing company reducing number share outstanding open market
392,real cost issuing bond,also referred also refer real cost issuing bond
393,difference unit production depreciation unit activity method,unit production depreciation name suggests depreciation asset based number unit produce rather number year useful life left
394,definition unrealized loss,unrealized loss exists value stock decrease purchased investor heshe yet sold
395,happens borrower declared bankrupt,usually occurs case borrower declared bankrupt fails meet term repayment loan debt
396,meaning term gaap,term confined u therefore generally abbreviated u gaap
397,main point comparison u gaap ifrs,main point comparison u gaap ifrs include
398,part inventory currently worked yet production process,work progress part inventory currently worked yet production process
399,accelerated buy back,accelerated buy back also called accelerated share repurchase gimmick used company desire way generate cash shareholder without going formality traditional buyback program without throwing balance sheet kilter
400,term used describe subject matter sale,example company traded sold subject matter sale mean part sale
401,definition acquirer,acquirer either reject purchase accept placing money seller account
402,definition insolvency act,bankruptcy act also called insolvency act defined decree according lawful practice bankruptcy law curb menace especially canada
403,main contribution adam smith time scottish enlightenment,main figure played positive productive role time scottish enlightenment
404,adhocracy,term adhocracy commonly defined form organization operates differently normal bureaucratic line explore opportunity resolve issue get better outcome
405,definition arbitrage,finance arbitrage refers practice taking advantage difference price two market striking arrangement matching deal capitalize upon difference profit difference market price
406,role asset reconstruction authority world,different company established asset reconstruction restructuring authority organization several country
407,difference two type balance theory,balance theory might two type credit balance theory debit balance theory
408,bare trust,bare trust defined basic trust beneficiary complete right asset within trust along income generated asset
409,definition barter,barter system generally bilateral might also multilateral large exists parallel monetary system developed country although limited extent
410,definition benchmark interest rate,various bank world given benchmark rate interest
411,beneficiary trust law,trust law known cestui que use beneficiary natural person entity legal stature entitled receive money assistance another person known benefactor
412,bond,bond refers debt investment wherein investor lends money business company borrows fund specific time period fixed interest rate
413,bribery,bribery defined gift granted individual community organization person granted gift ask favor
414,bridge loan,basically bridge loan interim financing strategy based loan offer financing individual business
415,budget constraint,budget constraint refers combination good service purchased consumer income given price
416,budgetary slack,budgetary slack allowance set extra expenditure entity going incur fore coming period
417,burn rate,burn rate term used synonym cash flow negative opposite direction
418,business plan,business plan decision making tool delineated formal statement set business goal reason achievable plan achieving goal
419,process assessing redesigning flow work within business,process assessing redesigning flow work within business business known business process reengineering
420,term capital account,term capital account used frequently field macroeconomics international finance monetary matter
421,meaning capital accumulation,say investment made realizing financial profit
422,test annual impairment,basically unit account subjected testing annual impairment exists banking system account
423,difference cash payment delivery,transaction element fully satisfied cash payment delivery take place time
424,definition low jeopardy investment,financier looking low jeopardy investment suppose held development numerous cd would yield full quantity innovative speculation even organization delivering certificate deposit breakdown
425,typical clause employment contract,typical one added frequently major employment contract firm company
426,cofinancing term,basically official term cofinancing concerned designing certain arrangement according one party collaborate contribute towards funding
427,collateral,collateral refers asset property presented secure loan credit
428,collateralized mortgage obligation,collateralized mortgage obligation basically kind security mortgage backing establishes separated pool passthrough rate multiple bondholder class variety maturity known tranche
429,collection agency,collection agency business oriented agency concerned collection money debt lender ad company
430,commitment letter,commitment letter formal letter issued lending authority order inform loan applicant term condition getting loan credit
431,commodity paper,commodity paper defined loan advance issued borrower lender part raw material owned borrower serve collateral body people
432,role commodity product spread purchase given tangible,involvement commodity product spread purchase given tangible intangible commodity result purchase subsequent sale product commodity product spread
433,conversion cost,conversion cost defined sum cost incurred carrying conversion article intended output
434,difference bond valuingandcommon stock share,bond valuingwhich convertible intocommon stock share ofeach sell aconversion premium of1500
435,corporate finance specialist,corporate finance specialist assist firm evaluation operating data industry indicator addition providing advice management budget adjustment decision regarding general investment
436,cost benefit analysis,cost benefit analysis refers systematic process used calculate compare cost benefit project decision government policy
437,cost effectiveness analysis assign monetary value measuring effect,unlike cost benefit analysis cost effectiveness analysis assign monetary value measuring effect
438,covenant,covenant generally refers promise agreement formal debt indenture certain activity conducted
439,credit cooperative scheme china,sanctioned cooperative union enables citizen get credit
440,definition credit crunch,may also defined sudden restriction tightening term condition required obtaining loan bank
441,credit limit,credit limit defined maximum amount credit withdrawn debt financial institution bank
442,common form credit line expansion restriction,common form credit line expansion restriction include loan demand protection overdraft specific purpose export packing credit many attribute
443,definition credit rating agency,different kind rating included regard
444,difference cumulative preferred stock common stock,known cumulative preferred stock
445,debenture,debenture instrument backed credibility issuer market physical asset
446,cause deflation,deflation may also caused decrease spending includes government private sector spending
447,purpose discretionary trust,discretionary trust provides trustee power decide come conclusion regard beneficiary would receive fund amount fund heshe would get
448,difference divesture sale,process carried either social financial goal
449,dutch auction,bid made first considered winning bid transforms sale assumption bidding price reserve price
450,escrow,escrow basically type arrangement made per provision laid contract party transacting wherein independent 3rd party get disburses fund orand document behalf party transacting disbursement timing 3rd party depending fulfilling condition listed contract party transacting
451,definition exploration expenditure,exploration expenditure comprises expenditure excluded expenditure incurred taxpayer exploration petroleum eligible recovery exploration area relation petroleum project
452,difference factor cash advance,balance purchase price along net factor discount fee charge paid upon collection
453,definition money surrogate,moreover money surrogate way instrument capital account market created transacting trading asset liability risk
454,branch finance,involves planning organizing directing controlling financial activity business firm like procurement utilization fund business firm
455,franchise,definition franchise form business organization firm already successful good product service called franchisor get contract based relationship another business called franchisee operates name franchisor fee
456,franchise,franchisee may operate franchisors name carry separate business within perimeter set franchisor
457,definition fraud,actually tricky unlawful way obtain something
458,free price system,term free price system refers economic system price decided exchange demand supply price resulting taken signal communicated consumer producer help guiding production distribution resource
459,wage garnishment,process withholding remittance order court known wage garnishment
460,gemckinsey matrix,gemckinsey matrix form analysis using portfolio outlay strategic unit business position sbu industry
461,meaning golden parachute,golden parachute provided mostly executive employee benefit significant noteworthy
462,grace period,word grace period extension period provided borrower good
463,definition grey market,grey market similar term black market
464,definition gdp,actual definition gross domestic product given financial value finished good service generated within nation border certain time period though gdp generally evaluated yearly basis
465,definition country gdp,explained investopedia gross national product refers quantification economic performance country
466,hedge,hedge generally investment position projected make potential loss might incurred cohort investment
467,rate bank hong kong deal,hibor actually rate bank hong kong deal inter bank market
468,high leveraged transaction,bank loan given company already huge debt high leveraged transaction
469,much voting stock holding company need obtain tax consolidation benefit,explained investopedia essential holding company minimum ofof voting stock obtain tax consolidation benefit like taxfree dividend
470,horizontal integration mean,said horizontal integration refers control ownership
471,definition hostile takeover,hostile takeover take place company taken without choice management especially director
472,importance human resource management every company,human resource management important every company help organizing recruitment process within company
473,definition human resource,human resource collection individual work organization form workforce
474,hyperinflation,hyperinflation economy result decrease value money demand supply formula loses original shape
475,benefit incorporation,many benefit incorporation owner business
476,term international contract,incoterms term used international contract published international chamber commerce
477,inflation,inflation rise price product general consumer turn affect cost living normal consumer
478,definition ipo,however ipo also offered large private company wish trade publicly
479,inside information,inside information material information regarding entity board director management orand employee public aware
480,abbreviation imf,imf abbreviation international monetary fund largest financial economic organization world
481,job analysis,job analysis process used collect information relating responsibility duty skill set conclusion work environment given job
482,joint stock company,joint stock company combination partnership corporation
483,difference bribery kickback,moreover kickback bribery impact welfare system impact overall economy
484,difference accepted theory value labor theory value,labor theory value different accepted theory value state value commodity relation labor required obtaining producing commodity related factor production
485,lessee,person lending property making agreement black white lessee
486,lessee,lessor defined owner property subject matter leased agreement
487,letter credit,case buyer unable make payment time purchase required bank cover full pending amount payment
488,life annuity,life annuity based predetermined amount annuitant wish pay periodically till retirement day
489,limited liability company,according definition limited liability company corporate structure shareholder company limited liability company action
490,limited liability partnership,limited liability partnership basically new kind corporate framework combine flexibility involved partnership benefit limited liability entity compliance price low
491,definition management discussion analysis,management discussion analysis basically business related information mandated security exchange commission must also come withyears financial statement audited
492,marginal utility,marginal utility concept according customer provided sense satisfaction gain received consumer getting good service one unit
493,definition market economy,market economy decision related production investment distribution dependent demand supply free price system free price mechanism used determining price good service
494,end security life,simple word explained end security life
495,microcredit,microcredit scheme introduced benefit small level borrower
496,definition microeconomics,thus general microeconomics pay attention pattern demand supply determines output price different market
497,micro finance,like unemployed low income group
498,mixed economy,economic system exhibit characteristic market economy planned economy
499,definition money laundering,money laundering considered serious crime
500,definition money market,security money market incorporates certificate deposit negotiable u
501,monopoly,monopoly situation wherein single entity owns either nearly market particular kind service product
502,mortgage,mortgage refers lien loan property supposed paid specific time period
503,negotiable instrument,negotiable instrument document provides guarantee payment specific amount money
504,definition noncumulative preferred stock,noncumulative preferred stock refers preferred stock share usually dividend starting every year
505,difference shoring outsourcing,shoringis type outsourcing company outsources function done another country
506,definition oligopoly,oligopoly refers market structure hold held hand firm
507,definition book,example book several different story different author called omnibus
508,overdraft,simple word overdraft allows individual continue withdrawal even zero fund
509,participatory management,participative management decentralized form management
510,pension agreement,basically pension parachute pension agreement state case hostile take raiding firm able use pension asset finance acquisition pension plan asset available provide benefit participant plan
511,performance management,performance management process focus achieving target goal efficient effective manner
512,definition perpetual debenture,defined bond maturity date
513,purpose personnel selection process,personnel selection process used hiring individual pool job applicant required qualification knowledge skill competence fill vacant position organization
514,definition petty corruption,term petty corruption used corruption done small scale corruption done lowlevel
515,pledge mean,word pledge mean promise thing make bound something
516,predatory lending considered legal practice,predatory lending considered legal practice
517,preemptive right mean,preemptive right refer shareholder posse right maintain share ownership organization buying proportional number share percentage share already corporation
518,preferred stock,preference share refer stock proffer specific dividend paid prior payment dividend paid common shareholder
519,phenomenon mark repayment loan time early installment,borrower normally repays loan order save oneself form high interest rate repayment observed case refinancing borrower
520,definition private company,ownership company private reason required meet necessary rule public company
521,difference private collective property,private property even different collective property owned group individual
522,prospectus,prospectus legal document required every company filed security exchange commission provide detail investment offered public sale
523,definition protectionism,country using protectionism feel industry getting damage unfair global competition
524,public corporation,public company also known public corporation company whose share traded publicly company plenty shareholder
525,happens agreement signed two party,return favor provided party paying loan another second party agree upon reimbursement amount later date keeping agreement first foremost priority
526,definition quasi rent,term quasi rent new economist
527,purpose accounting policy,accounting policy seldom done
528,form security sell like stock major exchange,form security sell like stock major exchange directly invested real estate either help mortgage property
529,mortgage investment conduit,remic special purpose vehicle spv issuance mortgagebacked security pool mortgage loan
530,recapitalization,recapitalization term used denote sort legal reorientation company capital structure
531,definition recession,word recession mainly associated big decline economic activity country term industrialization employment activity
532,purpose double taxation,passed shareholder highly personal basis one avoid aspect double taxation certain extent
533,first thing strike mind people matter economy,matter economy first thing strike mind people security risk management
534,best way conduct long distance transaction,conduct long distance transaction system come wellorganized term condition becomes beneficial management get transaction done
535,definition risk management,essentially risk management happens time capitalist fund manager examines effort quantify possibility deprivation investment carry precise action inaction given investment target risk margin
536,saleleaseback arrangement,saleleaseback arrangement owner sell belonging property instantly lease back buyer part transaction
537,self financing,self financing procedure company individual spends money completion ongoing project case unavailability funding source
538,single premium deferred annuity,single premium deferred annuity type annuity contract recognized solitary lumpsum payment owner
539,difference sole proprietorship company,businessmen prefer sole proprietorship would think name run company named sole proprietor
540,spot market,spot market commodity security market good perishable nonperishable sold money delivered immediately within short span time
541,definition sic,standard 4digit code used u government identify industry according function product standard industrial classification
542,main type cost associated starting business,startup cost basically nonrecurring costswhich associated setting business fee accountant registration charge legal fee promotional advertising activity well employee training
543,importance strategic planning organization,simple putting strategic planning analysis determines company going next year going get position know getting specified goal
544,asubordinated debt,word asubordinated debt rank security loan phase loan repayment occurs
545,definition subprime lending,many name term subprime lending
546,surplus theory,concept surplus theory developed written karl marx term invented
547,main type swap,recent time swap grown take account currency swap interest rate swap
548,definition task analysis,task analysis recognition prime element given job understanding skill required make sure job done perfect outcome
549,main goal taylorism,main goal taylorism provide way bettering economy especially field labor production
550,definition technical analysis,technical analyst endeavor estimate intrinsic value security
551,basic important question theory economics,basic important question theory economics price good service priced price good service considered correct price good service calculated
552,time management,time management variety technique skill tool may used managing time specific goal project task needed accomplished within given due date
553,trade mark,trademark registered symbol represents specific product intellectual property manufacturer distributor product specified personnel right manufacture distribute product realize profit
554,transfer pricing,transfer pricing business division treated separate entity price charged one part company another part company order provide certain service known transfer pricing
555,definition trustee,term holding trusteeship property possession
556,underwriting,underwriting explained process investment banker raise investment capital investor behalf government corporation issuing security
557,unique selling proposition,let start basic question unique selling proposition
558,definition vci,venture capital financial capital provided investor high potential high risk startup firm small company long term growth potential
559,point vertical integration play role,come point vertical integration play role provide company edge cutting extra cost show efficiency cutting expense spend transportation reducing duration work well
560,voucher,voucher piece evidence prof certain event transaction carried
561,warrant,warrant refers derivative security provides holder right purchase security issuer particular price within specific period time
562,definition form work,form work could anything like product data service
563,yield,yield refers income return investment
564,definition audit engagement,specific audit engagement referred written letter auditor us notify client heshe would engaging auditing service
565,audit evidence,audit evidence generally refers information collected reviewing financial transaction company addition internal control practice essential factor required certification financial statement
566,audit opinion,audit opinion helpful setting scope audit accountant opinion procedure record used creating statement accountant opinion whether financial statement present accurate reflection organization financial condition
567,audit planning,basically step step methodology audit control review financial process internal environment along engagement preparation
568,divided two category,audit procedure divided two category
569,purpose audit report,audit report recorded annual report examines check compliance company financial statement gaap
570,definition residual risk,also referred residual risk audit risk defined risk auditor discern error intentional miscalculation process reviewing financial statement company individual
571,audit sampling,audit sampling defined process applying auditing procedure underof different item organization account balance way every single unit might equal probability selected
572,purpose audit trail,useful tracking market activity improper
573,purpose auditing standard board,auditing standard board produce statement standard guidance certified public accountant nonpublic company audit
574,many firm spread acrosscountries,spread acrosscountries baker tilly international overfirms
575,one top ten audit company world,bdo among top ten audit company world presently sixth preferred audit company
576,definition big four,big four includes four largest international professional service network accountancy professional service
577,comfort letter,auditing context comfort letter letter document independent auditor included preliminary prospectus state though complete audit done review done auditor sufficient assuring information financial statement preliminary prospectus prepared properly best knowledge
578,compliance audit,auditor conduct review security related policy procedure pertaining risk management user access control throughout compliance audit course
579,purpose caats,computer assisted audit technique tool used auditor
580,purpose computer auditing,computer auditing tool facilitates business regard data processing putting special concern targeted operation
581,definition conflict interest,conflict interest believed occur organization individual caught multiple interest one could probably distort motivation one act
582,deloitte touche tohmatsu limited headquarters,company hold headquarters paramount plaza new york city new york midtown manhattan
583,definition detection risk,detection risk actually risk procedure applied auditor fail detect material misstatement financial statement
584,statement,disclaimer opinion basically statement provided auditor doesnt lay sort opinion regard financial position condition company
585,largest private firm u,besides firm ranked 9th largest private company u forbes magazine
586,definition financial auditing,financial auditing refers accounting process applied business
587,gaas,short generally accepted auditing standard gaas refers set systematic guideline used auditor performing audit company financial statement thus ensuring consistency accuracy verifiability action report produced auditor
588,importance connecting client work,company known provide best audit tax consultative knowhow promotes importance connecting client work
589,definition inherent risk,every company apply procedure give accurate result result basically inherited risk factor procedure applied small sample population rather whole population
590,definition institute internal auditor,institute internal auditor implies guidancesetting organization
591,internal audit,internal audit defined evaluation monitoring analysis activity associated operation company also counting business structure information system employee behavior
592,importance international standard professional practice internal auditing,although difference might affect practice internal auditing every environment conformance iias international standard professional practice internal auditing important congregating responsibility internal auditor well internal audit activity
593,role auditor isa,auditor obligatory knowledge whole text isa counting application explanatory material aware objective apply requirement aptly
594,many people work kpmg,moreover firm employ aboutpeople offer three basic service line tax audit advisory
595,litigation risk analysis,litigation risk analysis provides assessment determine whether chance legal action taken company future
596,materiality concept auditing accounting,materiality concept auditing accounting refers truthfulness material
597,purpose model audit,generally model audit appealed banking organization purpose reassuring lender investor alike calculation assumption contained model accurate result obtained model dependable
598,difference unmodified unmodified opinion,information financial statement materially correct opinion auditor unmodified opinion
599,definition nonsampling risk,nonsampling risk risk despite selected appropriate sample auditor arrive wrong conclusion
600,name firm,pkf globally spread overcountries one widest accounting network providing best financial service world
601,name firm shortened,trading name thus shortened pwc septemberas part key rebranding exercise
602,definition professional judgment,suppose condition accountant prepared financial statement auditor check information financial statement true flawed misstatement
603,skepticism,professional skepticism state mind ready situation grab error question financial event event conducting assurance engagement
604,qualified opinion,circumstance qualified opinion given
605,ratio sample estimate population total,ratio sample estimate population total used adjust sample estimate variable interest
606,risk material misstatement,risk material misstatement refers risk financial statement materially misstated present true fair view
607,professional financial company provides type financial service client including risk,founded inand headquartered london rsm professional financial company provides type financial service client including risk management financial management tax advisory
608,definition sampling error,however using sampling data involves risk result found analysis might represent result would acquired using data involving whole population sample derived
609,difference auditor opinion opinion entire population,sampling risk risk auditor opinion would different procedure applied entire population data
610,sarbanesoxley act,commonly known public company accounting reform investor protection act corporate auditing accountability responsibility act sarbanesoxley act implemented july2002
611,name company,founded glasgow yearsmith williamson catered various financial business need customer providing great advisory chartered accountant service client
612,provides auditing report submit report law concerned municipal law authority,company auditor provide auditing report submit report annually semiannually law concerned municipal law authority
613,statutory auditor,statutory auditor country referred external auditor external public accountant certified
614,meaning unqualified opinion,judgment independent author financial record statement company presented appropriately fairly accordance generally accepted accounting principle called unqualified opinion
615,main objective auditing,term vouching core thing auditing refers inspecting documentary evidence auditor support substantiate transaction
616,purpose appraisal institute,work towards making appraisal system transparent support equal opportunity fairness profession appraisal
617,main task appraisal standard board,main task appraisal standard board performs developing interpreting amending uniform standard professional appraisal practice done behalf user appraiser appraisal service
618,appraiser,appraiser professional certified estimate worth value item thing
619,difference approach value sale comparison approach,different property different approach value used
620,cost approach value,cost approach value one approach value used determining value property
621,income approach value,income approach value also known income capitalization approach used determine value income generating property deriving value indication conversion expected benefit like cash flow reversion value property
622,role international valuation standard council,sincethe international valuation standard published international valuation standard council
623,difference business expected close function continuously,going concern valuation mean value business expected close function continuously
624,project appraisal,project appraisal structured process assessing viability project proposal
625,difference valuation special case,therefore valuation become special case effective insurable value property estimated
626,difference real estate appraisal land valuation,type appraisal market value property usually required
627,term residual income,word residual refers opportunity cost excess measured compared book value shareholder equity income firm generates accounting true cost capital residual income
628,role royal institution chartered surveyor,royal institution chartered surveyor professional representative independent body work control surveyor property professional u
629,value property,sale comparison approach determines value property comparing similar property vicinity recently sold along proper adjustment acreage size amenity time etc
630,appraisal foundation formed 1987,formation appraisal foundation inwas due flux arising business relating mortgage lending real estate
631,definition term,uniform standard professional appraisal practice kind quality control standard u
632,example intangible asset,example intangible asset goodwill trademark patent
633,valuation technique,valuation using multiple often known relative valuation technique used making estimate value asset done making comparison asset value value similar asset comparables analyzing market
634,definition valueinuse asset,valueinuse asset net present value cash flow benefit generated asset certain use certain owner
